Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
ED-T-04-AWS-HZN002_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_RoomOccupancy//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN002_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_Lum//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN002_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_Tmp//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN002_So,Average Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_So//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN002_Rh,Average Humidity,brick:Humidity_Sensor,unit:PERCENT,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_Rh//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN002_Co2,Average CO2,brick:CO2_Level_Sensor,unit:PPM,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_Co2//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN002_Voc,Average Total Volatile Organic Compounds,brick:Voc_Level_Sensor,unit:PPB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN002/CurrentMetrics/ED-T-04-AWS-HZN002_Voc//Value,,ED-T-04-AWS-HZN002,,
ED-T-04-AWS-HZN003,ED-T-04-AWS-HZN003,ext:Average_Indoor_Environment_Quality_Sensor,,,ED-T-04-AWSGW-001,,Room_04.09,
ED-T-04-AWS-HZN003_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN003/CurrentMetrics/ED-T-04-AWS-HZN003_RoomOccupancy//Value,,ED-T-04-AWS-HZN003,,
ED-T-04-AWS-HZN003_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN003/CurrentMetrics/ED-T-04-AWS-HZN003_Lum//Value,,ED-T-04-AWS-HZN003,,
ED-T-04-AWS-HZN003_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN003/CurrentMetrics/ED-T-04-AWS-HZN003_Tmp//Value,,ED-T-04-AWS-HZN003,,
